Airport;Position;Passenger
LONDON HEATHROW airport;51.4775, -0.461389;79151723
ISTANBUL/ISTANBUL HAVALIMANI airport;41.262222, 28.727778;76236980
PARIS-CHARLES DE GAULLE airport;49.009722, 2.547778;67421316
AMSTERDAM/SCHIPHOL airport;52.3, 4.765;61889586
ADOLFO SUAREZ MADRID-BARAJAS airport;40.472222, -3.560833;60220982
FRANKFURT/MAIN airport;50.033333, 8.570556;59359539
BARCELONA/EL PRAT airport;41.296944, 2.078333;49909544
LONDON GATWICK airport;51.148056, -0.190278;40897656
ROMA/FIUMICINO airport;41.800278, 12.238889;40545240
MUENCHEN airport;48.353889, 11.786111;37037070
MOSCOW/SHEREMETYEVO airport;55.972778, 37.414722;36600000
LISBOA airport;38.774167, -9.134167;3364900
DUBLIN airport;53.421389, -6.27;33522493
PARIS-ORLY airport;48.723333, 2.379444;32294167
PALMA DE MALLORCA airport;39.551667, 2.738889;31105987
WIEN-SCHWECHAT airport;48.110833, 16.570833;29533186
ZURICH airport;47.464722, 8.549167;28885506
ATHINAI/ELEFTHERIOS VENIZELOS airport;37.936389, 23.947222;28174150
MANCHESTER airport;53.353889, -2.275;28108238
LONDON STANSTED airport;51.885, 0.235;27965262